,id,antecedent,consequent,confidence,lift,length,freq,items,support,Category,Purity
26,25769803828,['1065e0ebef073787a7bf691924c60eeb'],['5dae498eff2d80057f56122235a36aff'],0.5,7040.625,2,6,"['5dae498eff2d80057f56122235a36aff', '1065e0ebef073787a7bf691924c60eeb']",5.326231691078562e-05,construction_tools_construction,1.0
27,25769803926,['507914b4af243e0589c389ac50545ef6'],['bf1a9a02e2160143755052e6bf59740f'],0.8571428571428571,13793.877551020409,2,6,"['507914b4af243e0589c389ac50545ef6', 'bf1a9a02e2160143755052e6bf59740f']",5.326231691078562e-05,construction_tools_construction,1.0
28,25769803860,['0cf2faf9749f53924cea652a09d8e327'],['1065e0ebef073787a7bf691924c60eeb'],0.75,7040.625,2,9,"['0cf2faf9749f53924cea652a09d8e327', '1065e0ebef073787a7bf691924c60eeb']",7.989347536617843e-05,construction_tools_construction,1.0
29,17179869255,"['399f54c06661d06ca45c6e24ed238e0e', '99444c1e11fc38755dae86f5c67d3d1a']",['d25bbb182b51d1594fe3b54a27ae143e'],0.5555555555555556,12516.666666666666,3,5,"['d25bbb182b51d1594fe3b54a27ae143e', '399f54c06661d06ca45c6e24ed238e0e', '99444c1e11fc38755dae86f5c67d3d1a']",4.438526409232135e-05,bed_bath_table,1.0
30,17179869256,"['399f54c06661d06ca45c6e24ed238e0e', '99444c1e11fc38755dae86f5c67d3d1a']",['6a0713a63e990052795623e76cc2995e'],0.8888888888888888,4353.623188405797,3,8,"['399f54c06661d06ca45c6e24ed238e0e', '99444c1e11fc38755dae86f5c67d3d1a', '6a0713a63e990052795623e76cc2995e']",7.101642254771416e-05,bed_bath_table,1.0
31,17179869269,"['1065e0ebef073787a7bf691924c60eeb', '4a5c3967bfd3629fe07ef4d0cc8c3818']",['5dae498eff2d80057f56122235a36aff'],1.0,14081.25,3,5,"['5dae498eff2d80057f56122235a36aff', '1065e0ebef073787a7bf691924c60eeb', '4a5c3967bfd3629fe07ef4d0cc8c3818']",4.438526409232135e-05,construction_tools_construction,1.0
32,8589934598,"['d25bbb182b51d1594fe3b54a27ae143e', '99444c1e11fc38755dae86f5c67d3d1a', '6a0713a63e990052795623e76cc2995e']",['399f54c06661d06ca45c6e24ed238e0e'],1.0,12516.666666666666,4,5,"['d25bbb182b51d1594fe3b54a27ae143e', '399f54c06661d06ca45c6e24ed238e0e', '99444c1e11fc38755dae86f5c67d3d1a', '6a0713a63e990052795623e76cc2995e']",4.438526409232135e-05,bed_bath_table,1.0
33,25769803838,['eaf84e31d1e891449aa5cf7130e75fc6'],['8279f484b70cb6fb2a87f36e766bd559'],0.8333333333333334,11734.375,2,5,"['eaf84e31d1e891449aa5cf7130e75fc6', '8279f484b70cb6fb2a87f36e766bd559']",4.438526409232135e-05,bed_bath_table,1.0
34,25769803810,['3c5ba90e09547db90868e803d139de30'],['ea3da91e6ba865972f9344cb9265296b'],0.5555555555555556,6953.7037037037035,2,5,"['3c5ba90e09547db90868e803d139de30', 'ea3da91e6ba865972f9344cb9265296b']",4.438526409232135e-05,furniture_decor,1.0
35,25769803875,['0be487faac01dd57fd7ed17cfbdf2dee'],['4d272fe20c57c64dc74b3db191fc31ef'],0.5,2560.227272727273,2,5,"['0be487faac01dd57fd7ed17cfbdf2dee', '4d272fe20c57c64dc74b3db191fc31ef']",4.438526409232135e-05,bed_bath_table,1.0
36,8589934622,"['5dae498eff2d80057f56122235a36aff', '1065e0ebef073787a7bf691924c60eeb', '4a5c3967bfd3629fe07ef4d0cc8c3818']",['0de59eddc63167215c972b0d785ffa7b'],1.0,14081.25,4,5,"['5dae498eff2d80057f56122235a36aff', '0de59eddc63167215c972b0d785ffa7b', '1065e0ebef073787a7bf691924c60eeb', '4a5c3967bfd3629fe07ef4d0cc8c3818']",4.438526409232135e-05,construction_tools_construction,1.0
37,17179869248,"['5dae498eff2d80057f56122235a36aff', '4a5c3967bfd3629fe07ef4d0cc8c3818']",['1065e0ebef073787a7bf691924c60eeb'],1.0,9387.5,3,5,"['5dae498eff2d80057f56122235a36aff', '1065e0ebef073787a7bf691924c60eeb', '4a5c3967bfd3629fe07ef4d0cc8c3818']",4.438526409232135e-05,construction_tools_construction,1.0
